,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
1098,356.352433824663,1295.40447998047,356.35087709604403,356.353590950827,1293.63220214844,1298.37548828125,90,171242.37143646233,nan,nan,1098,0.0,no
1151,367.148212902271,151.766586303711,367.14346386956004,367.149796820569,130.802139282227,154.843566894531,89,529773.1301354945,nan,nan,1151,0.0,no
1158,368.425528117125,1207.88433837891,368.42446724942596,368.42694120057405,1200.31481933594,1224.98327636719,118,432805.53823270305,nan,nan,1158,0.0,no
1199,377.236522157433,1160.50994873047,377.235590429486,377.237570537985,1158.71142578125,1164.22436523438,118,1677577.1492017307,nan,nan,1199,0.0,no
1202,377.325686592144,1188.85729980469,377.28473258523303,377.326926029205,1183.85473632812,1214.11535644531,81,285968.2492984255,nan,nan,1202,0.0,no
1229,383.114392933592,69.0642547607422,382.994584267666,383.11712181963304,57.7885856628418,81.0164489746094,119,932434.0437404694,nan,nan,1229,0.0,no
1277,394.35255501681803,1189.20300292969,394.2960371439,394.353594014967,1183.41589355469,1214.62902832031,117,723854.2991438399,nan,nan,1277,0.0,no
1307,399.30947751117003,1189.51708984375,399.306902246783,399.352212549284,1183.41589355469,1206.63134765625,97,310995.782167074,nan,nan,1307,0.0,no
1370,415.212319590356,1008.36376953125,415.211222605698,415.247816599865,992.769165039062,1011.2968139648401,155,1541945.0343165388,nan,nan,1370,0.0,no
1513,438.29889798021105,1101.20617675781,438.271440155088,438.29985293331396,1092.92333984375,1103.88854980469,119,1268739.5012851146,nan,nan,1513,0.0,no
1516,438.379159288349,1187.14202880859,438.37513916952105,438.380232783719,1182.107421875,1194.85864257812,86,894277.0471965664,nan,nan,1516,0.01694915254237288,knn
1548,443.334588688768,1187.17309570312,443.332643445619,443.34809122615303,1182.97827148438,1199.24609375,75,375734.7367395416,nan,nan,1548,0.0,no
1585,449.266366630948,1321.41284179688,449.26473218885803,449.26791380720994,1320.32946777344,1322.97937011719,90,598832.1723092551,nan,nan,1585,0.0,no
1611,452.322308101717,1098.89147949219,452.32057062598506,452.330798396766,1097.791015625,1113.64819335938,97,914379.7985612745,nan,nan,1611,0.0,no
1620,453.24540461445605,621.2366943359381,453.237386649871,453.25570698766603,608.2039794921881,627.955017089844,52,202699.70071955211,nan,nan,1620,0.01694915254237288,knn
1629,453.74696559818904,621.437561035156,453.710630488529,453.893323160922,616.7122802734381,633.653503417969,37,97267.65843206066,nan,nan,1629,0.01694915254237288,knn
1672,459.295423855296,1102.34545898438,459.283610339955,459.29652183151603,1099.75439453125,1104.04663085938,105,284488.59293310944,nan,nan,1672,0.0,no
1720,464.314502331997,1120.94390869141,464.31348933948897,464.3360811483099,1119.00146484375,1127.40283203125,120,1263277.5336835633,nan,nan,1720,0.0,no
1736,466.33043516123,1163.32800292969,466.329595923108,466.378650214228,1151.71875,1175.85827636719,121,1644629.0042435871,nan,nan,1736,0.0,no
1782,471.73778883456396,710.222198486328,471.53541862018204,471.740107652387,700.166748046875,712.662231445312,102,234038.33473563357,nan,nan,1782,0.0423728813559322,knn
1786,472.239068527363,710.1832885742191,472.236730560586,472.27342316293294,701.819458007812,712.662231445312,96,118695.56090635114,nan,nan,1786,0.00847457627118644,knn
1796,473.31203804290396,1185.35461425781,473.311127262481,473.31537768005796,1180.3779296875,1189.27526855469,106,461670.15717846266,nan,nan,1796,0.07627118644067797,knn
1846,480.346338178971,1103.58947753906,480.31917209540495,480.347129470178,1098.30932617188,1106.30981445312,119,6844863.279541806,nan,nan,1846,0.0,no
1857,481.34877215865697,1103.50354003906,481.312294519663,481.350358987342,1075.24792480469,1118.5244140625,152,1886053.7482121976,nan,nan,1857,0.0,no
1861,482.362122794514,1099.84771728516,482.361043973667,482.36292428790904,1098.98767089844,1102.41320800781,118,8543616.18919199,nan,nan,1861,0.0,no
1863,482.404926770778,1185.23516845703,482.35549574039396,482.406619246054,1174.60034179688,1199.53515625,100,1033403.0737198166,nan,nan,1863,0.13559322033898305,knn
1872,483.365229711936,1099.83038330078,483.36409095357595,483.366072561678,1098.98767089844,1102.41320800781,118,2308310.585691406,nan,nan,1872,0.0,no
1890,485.313846108127,1050.53283691406,485.311033681816,485.38344971464005,1047.84399414062,1063.58825683594,125,123901.92647830115,nan,nan,1890,0.05084745762711865,knn
1930,490.3386217715,1185.47271728516,490.337383365616,490.353781298769,1180.3779296875,1195.12255859375,110,1137383.944609902,nan,nan,1930,0.03389830508474576,knn
1940,491.342324070494,1185.44256591797,491.341209929086,491.346778458336,1180.3779296875,1189.74548339844,106,332298.6013465876,nan,nan,1940,0.07627118644067797,knn
1949,492.364873487354,1162.8017578125,492.36399479234,492.365754607381,1162.12841796875,1165.34545898438,60,295757.86446690874,nan,nan,1949,0.0,no
1964,494.360712132846,1128.81622314453,494.30404534340795,494.36175134391505,1117.10144042969,1133.91125488281,136,669753.5999053445,nan,nan,1964,0.0,no
1975,495.293716849206,1185.36981201172,495.292784132809,495.294582436484,1180.3779296875,1189.74548339844,106,595185.043760984,nan,nan,1975,0.05084745762711865,knn
1982,496.341973910734,1084.20202636719,496.34131411434197,496.34298021830705,1083.24145507812,1085.85949707031,118,27407402.64400181,nan,nan,1982,0.0,no
1986,496.34160763239504,1069.88415527344,496.340908568207,496.342345468265,1069.20788574219,1070.41296386719,47,5261795.384615738,nan,nan,1986,0.0,no
1996,497.34448578737397,1069.84167480469,497.291402176438,497.345269540936,1061.14453125,1070.41296386719,57,1465648.828440253,nan,nan,1996,0.0,no
1998,497.345064541349,1084.20202636719,497.34426818845594,497.34590009498004,1083.24145507812,1085.85949707031,118,7574153.3827153975,nan,nan,1998,0.0,no
2003,498.34687045565806,1084.19592285156,498.287264190057,498.34818216098,1061.69470214844,1085.85949707031,157,1427577.523379,nan,nan,2003,0.0,no
2072,506.361494616371,1122.92614746094,506.36032984104304,506.36253770721197,1120.44702148438,1125.74426269531,118,2082788.8059079482,nan,nan,2072,0.0,no
2092,508.377209164405,1165.71313476562,508.351285538452,508.37840834375396,1150.25085449219,1169.72778320312,127,1522375.0140998252,nan,nan,2092,0.0,no
2093,508.377863793841,1119.83264160156,508.37670264625,508.37848542615603,1117.57336425781,1122.42004394531,117,7635614.969011787,nan,nan,2093,0.0,no
2101,509.380752510148,1119.79791259766,509.37956747220903,509.381698280712,1117.57336425781,1122.42004394531,118,2206472.4215060794,nan,nan,2101,0.0,no
2110,510.393026534596,1162.68518066406,510.31380136328596,510.394396591305,1152.24682617188,1166.45544433594,157,3047684.6539212926,nan,nan,2110,0.0,no
2118,510.75928844612605,661.48046875,510.757795731332,510.770870485882,650.762390136719,665.208984375,73,337745.4200581872,nan,nan,2118,0.0,no
2122,511.39499717005503,1162.27081298828,511.362393722229,511.397125050505,1154.00817871094,1166.45544433594,194,886555.2840507318,nan,nan,2122,0.0,no
2127,511.260810575727,661.3377685546881,511.243075871876,511.28007835676596,645.349792480469,671.373474121094,56,188253.86986181117,nan,nan,2127,0.00847457627118644,knn
2149,513.343994113377,1232.92791748047,513.342505750943,513.358195523112,1230.78491210938,1239.21728515625,92,190721.21268033437,nan,nan,2149,0.0,no
2161,514.378484896964,1160.88958740234,514.376730876366,514.380116371409,1159.57238769531,1163.65991210938,70,288521.47151346464,nan,nan,2161,0.0,no
2212,520.341840549375,1066.60748291016,520.340944985203,520.342708623776,1053.35913085938,1068.02160644531,128,19186447.246059947,nan,nan,2212,0.0,no
2223,521.345562051469,1066.59698486328,521.3441302298739,521.352360929568,1053.41528320312,1068.02160644531,126,5839247.386472735,nan,nan,2223,0.0,no
2233,522.3573918700071,1104.98779296875,522.356498608668,522.3579729025361,1103.44946289062,1107.74108886719,118,13023424.724548155,nan,nan,2233,0.0,no
2245,523.360355713601,1104.97790527344,523.359064736915,523.361122997218,1103.89575195312,1107.26538085938,118,3826841.1574858925,nan,nan,2245,0.0,no
2257,524.373159906886,1145.7900390625,524.342485323694,524.374160703804,1127.85705566406,1146.78161621094,152,14465131.485750828,nan,nan,2257,0.0,no
2258,524.362400495188,1104.93737792969,524.331976609647,524.3640463704551,1103.44946289062,1115.66809082031,106,910396.2347796797,nan,nan,2258,0.0,no
2270,525.376329068254,1145.7900390625,525.346637873811,525.377041316345,1127.60998535156,1146.78161621094,145,4274938.74351041,nan,nan,2270,0.0,no
2272,525.304512651737,1050.283203125,525.192267007527,525.354913716087,1022.2762451171901,1051.94763183594,127,373324.3853071276,nan,nan,2272,0.05084745762711865,knn
2284,526.431429174428,1183.19836425781,526.415293468665,526.433119697772,1178.66320800781,1199.13647460938,104,842866.4527043925,nan,nan,2284,0.09322033898305085,knn
