,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
396,209.077568575863,604.2412109375,209.07610846658199,209.078315647334,599.252380371094,606.928894042969,35,37625.61357025479,nan,nan,396,0.01694915254237288,knn
404,212.019195553456,833.099975585938,212.018550047663,212.019709445741,831.7683715820309,835.76318359375,38,88760.45681338974,nan,nan,404,0.0847457627118644,knn
406,213.021939952065,832.98779296875,213.021294699026,213.022522113649,832.2506713867191,834.8776245117191,23,12231.416779300283,nan,nan,406,0.2796610169491525,knn
411,214.015710967573,832.9893188476559,214.01495797219,214.05239498024397,831.7683715820309,852.215087890625,22,10839.629081208393,nan,nan,411,0.3220338983050847,knn
413,215.01354471958402,81.2267303466797,214.83440172273498,215.018129878258,53.7287178039551,85.4765167236328,153,132144.3859695926,nan,nan,413,0.0,no
418,216.15769769680801,719.6454467773441,216.156027642957,216.15864010449698,718.12548828125,720.6237182617191,19,8641.75373528525,nan,nan,418,0.22033898305084745,knn
426,218.13800250757998,828.0582885742191,218.137505568766,218.13836547188498,827.356201171875,832.1378784179691,13,5446.952929222354,nan,nan,426,0.06779661016949153,knn
446,223.23106357819,881.514617919922,223.22790548403998,223.277349697634,880.288818359375,885.3998413085941,42,13403.930405339039,nan,nan,446,0.0847457627118644,knn
449,225.032522019822,64.44016265869139,224.989727087178,225.034134905718,54.19132995605471,68.2218399047852,110,162709.12370273407,nan,nan,449,0.0,no
451,225.110449606021,792.150512695312,225.042409499549,225.144566069613,788.1181030273441,795.6327514648441,91,65044.17718924386,nan,nan,451,0.0,no
458,227.06703399827202,732.5485229492191,227.065548435163,227.06773666723203,732.018432617188,734.4981079101559,87,19104.3866374221,nan,nan,458,0.0,no
459,226.951531828886,57.9644870758057,226.946041860253,227.125433148587,53.3050003051758,79.7941055297852,102,310624.62947379274,nan,nan,459,0.0,no
463,227.126332146071,641.4381103515619,227.090311292245,227.127352634054,638.8980712890619,659.455383300781,26,42846.179602439806,nan,nan,463,0.0,no
468,229.14280872314998,788.1221313476559,229.049387018148,229.144570295895,777.38232421875,791.850708007812,116,1116643.9642692339,nan,nan,468,0.0,no
471,229.279427946086,788.131622314453,229.27641312281102,229.32588176586003,787.59130859375,788.737426757812,48,23221.100372749504,nan,nan,471,0.1440677966101695,knn
472,230.146487015404,788.135833740234,230.145179076227,230.14801674320802,786.6576538085941,789.1420288085941,92,145470.24361071156,nan,nan,472,0.0,no
473,230.247366711672,968.443969726562,230.246077927922,230.248440496216,967.985473632812,969.5476684570309,39,19036.65388144371,nan,nan,473,0.0,no
474,231.08169907419602,81.4183540344238,231.07453624177003,231.14628805607998,63.8054542541504,84.7035598754883,88,79883.14409230782,nan,nan,474,0.0,no
476,231.148292006464,788.13427734375,231.09993882018298,231.14872537192403,787.631469726562,792.1220092773441,28,15480.466467169244,nan,nan,476,0.06779661016949153,knn
478,231.97089025705003,63.8344116210938,231.96683430831402,232.054948156396,61.5869064331055,65.33871459960939,70,24050.373163220833,nan,nan,478,0.0,no
485,235.13286312541302,949.312957763672,235.132140989407,235.133286208252,945.6163940429691,951.022216796875,22,16319.356341110128,nan,nan,485,0.03389830508474576,knn
487,235.179333205925,599.7371826171881,235.17774676209498,235.18046280179297,596.38134765625,627.37744140625,37,51006.107221880426,nan,nan,487,0.19491525423728814,knn
489,235.179080042297,581.0230712890619,235.17779254586603,235.17994254152902,575.60986328125,588.2247314453119,19,18595.74123572293,nan,nan,489,0.1694915254237288,knn
490,236.99556844150501,81.5911483764648,236.989816868255,237.08866956054698,73.5705184936523,104.802474975586,89,27984.79233874076,nan,nan,490,0.0,no
497,239.04051479361303,891.322875976562,239.02985355462502,239.248225426277,888.7252807617191,907.628051757812,41,62610.41542628388,nan,nan,497,0.3559322033898305,knn
498,239.16342990749803,875.8777465820309,239.16267472266702,239.16408485711497,874.604858398438,876.577514648438,27,8368.058174080512,nan,nan,498,0.09322033898305085,knn
502,241.106583302083,881.4922485351559,241.103998341394,241.253990629203,880.288818359375,891.8760375976559,94,85264.32975699735,nan,nan,502,0.025423728813559324,knn
511,243.158633483275,832.100952148438,243.157825284253,243.18824154026402,817.2726440429691,842.8632202148441,95,116074.65943782678,nan,nan,511,0.00847457627118644,knn
513,243.158712820098,894.299407958984,243.15824469600398,243.20582551323898,882.223388671875,894.972045898438,20,28993.28564457914,nan,nan,513,0.0,no
515,244.263278881138,958.0253295898441,244.26185195937802,244.26380003865,956.192016601562,960.413452148438,81,356956.29197474103,nan,nan,515,0.0,no
518,244.162594630535,831.7645874023441,244.16124065075297,244.19032362296798,820.0623168945309,835.2474975585941,35,13515.789461360586,nan,nan,518,0.0,no
520,245.137327370265,641.34765625,245.135762775069,245.138235819927,639.2672119140619,644.26318359375,19,31807.38356456145,nan,nan,520,0.01694915254237288,knn
523,245.266451392044,958.0280151367191,245.22327116351002,245.26705795094298,957.512451171875,963.2702026367191,33,53166.641538853226,nan,nan,523,0.0,no
525,245.184693085906,622.173614501953,245.182175793158,245.18564178931499,607.885559082031,639.9630126953119,66,106594.94930559545,nan,nan,525,0.0,no
526,246.18808376856498,622.339050292969,246.187019492625,246.18871587607998,620.3785400390619,639.9630126953119,18,12011.349197676314,nan,nan,526,0.025423728813559324,knn
527,247.142425704411,240.742500305176,247.13767287868598,247.143804545272,222.5908203125,248.597473144531,62,219524.59052413912,nan,nan,527,0.0,no
528,247.12894757325,104.68068695068399,247.12668735171002,247.130023827762,96.4496307373047,120.500831604004,51,56017.40665470746,nan,nan,528,0.0,no
530,247.15347364462602,787.173217773438,247.13449524880002,247.15545503043398,778.2374877929691,791.850708007812,113,969308.152967414,nan,nan,530,0.0,no
531,247.166584390442,1682.60095214844,247.16628443457802,247.16688927312302,1666.40759277344,1689.9587402343802,117,450906.727502822,nan,nan,531,0.0,no
535,247.29487972112202,787.62744140625,247.29271503445202,247.343564473173,786.653076171875,788.2273559570309,47,18639.598067312374,nan,nan,535,0.1271186440677966,knn
536,248.156771269964,787.173828125,248.15029705280102,248.159773423592,786.1757202148441,788.638305664062,95,127934.01395598696,nan,nan,536,0.0,no
537,249.101199837978,66.1416664123535,248.96974891118998,249.106533030975,58.097900390625,78.0701675415039,112,26246.73648196503,nan,nan,537,0.01694915254237288,knn
539,249.15800585830002,787.631469726562,249.108670975138,249.159331787985,778.0296020507809,796.9376831054691,67,17366.716561110024,nan,nan,539,0.025423728813559324,knn
544,251.12786908768902,892.3352661132809,251.126972295806,251.129653389038,882.9467163085941,897.848022460938,20,6394.400570826966,nan,nan,544,0.03389830508474576,knn
550,253.11808731682203,94.6627044677734,253.11578106876,253.11867550415798,89.98199462890621,95.74767303466801,13,9120.552078859526,nan,nan,550,0.0,no
551,254.13535457249,641.2154541015619,254.13373021459202,254.136797321414,639.676574707031,642.893371582031,43,21273.448124116014,nan,nan,551,0.0,no
559,255.15638854128102,745.733032226562,255.15330105730598,255.157704669496,744.7261352539059,749.6073608398441,29,19560.32766224389,nan,nan,559,0.07627118644067797,knn
564,256.818960111763,62.5385513305664,256.814632527995,256.820480519768,57.7885856628418,65.849983215332,111,160289.36250768724,nan,nan,564,0.0,no
566,257.174877503302,875.6245727539059,257.17289913913396,257.234742075911,874.5365600585941,885.7601928710941,144,1241792.950752876,nan,nan,566,0.0,no
567,257.17465142262,1023.14926147461,257.173524952766,257.175909838681,1015.56719970703,1025.97985839844,86,38032.36697517269,nan,nan,567,0.0,no
571,257.318809683172,875.8777465820309,257.315462077091,257.37082693345,874.604858398438,876.577514648438,71,19651.84637317469,nan,nan,571,0.0847457627118644,knn
574,258.178715495085,875.576538085938,258.125579703416,258.206587586479,862.256103515625,876.6057739257809,119,189215.84359481686,nan,nan,574,0.0,no
577,259.153651418915,705.692016601562,259.151942740506,259.159613875387,699.1152954101559,707.714233398438,75,31149.493677193874,nan,nan,577,0.01694915254237288,knn
579,259.18084281651,875.9523315429691,259.128436089968,259.18210985108897,854.794799804688,876.6514282226559,52,22473.060629741947,nan,nan,579,0.00847457627118644,knn
581,260.65751936178395,1099.46179199219,260.656420338218,260.65856380139303,1098.53979492188,1100.974609375,61,15275.857711330527,nan,nan,581,0.0,no
584,261.169087530483,831.849517822266,261.167908661834,261.169804902557,829.8331909179691,842.3037719726559,102,184873.63130431768,nan,nan,584,0.0,no
586,261.168848420012,892.887084960938,261.149912099434,261.169519225465,887.904663085938,896.8175659179691,27,27227.822820575395,nan,nan,586,0.059322033898305086,knn
588,262.172512989172,831.695434570312,262.158940726187,262.173135336763,830.1387329101559,841.785766601562,55,25669.09746806239,nan,nan,588,0.01694915254237288,knn
610,269.13551739174403,788.1212768554691,269.07628193533697,269.138117461684,785.306396484375,793.7732543945309,112,1008174.3124163019,nan,nan,610,0.0,no
617,270.139710102902,788.1425170898441,270.077694195805,270.177555812426,777.0836791992191,796.0919799804691,103,149493.7774841795,nan,nan,617,0.11864406779661017,knn
622,271.190004152938,917.3745727539059,271.18869663488096,271.19051694779097,913.2401733398441,925.3541870117191,84,57341.1762127595,nan,nan,622,0.03389830508474576,knn
626,271.157029821672,735.490966796875,271.15313836871,271.166468538554,732.951416015625,741.1625366210941,87,39182.26195127591,nan,nan,626,0.0,no
629,272.192511661309,916.8279418945309,272.122043094542,272.19365426472,906.1110229492191,923.739501953125,46,9833.69170540092,nan,nan,629,0.00847457627118644,knn
633,273.168933756463,744.3984375,273.166226524697,273.179728687501,724.5776977539059,749.0469360351559,101,222503.56870938226,nan,nan,633,0.0,no
635,273.169212491077,858.197174072266,273.16816120561697,273.254836241746,845.7245483398441,859.8413696289059,42,19160.329900727684,nan,nan,635,0.0,no
636,273.168955678411,821.1471557617191,273.166547213783,273.170087301764,820.0623168945309,822.8052368164059,23,9409.60183929685,nan,nan,636,0.0,no
638,274.172318611642,744.7011108398441,274.09242469272004,274.17934510064,734.487426757812,749.0469360351559,49,31412.725733095944,nan,nan,638,0.00847457627118644,knn
