,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
489,235.179080042297,581.0230712890619,235.17779254586603,235.17994254152902,575.60986328125,588.2247314453119,19,18595.74123572293,nan,nan,489,0.1694915254237288,knn
530,247.15347364462602,787.173217773438,247.13449524880002,247.15545503043398,778.2374877929691,791.850708007812,113,969308.152967414,nan,nan,530,0.0,no
566,257.174877503302,875.6245727539059,257.17289913913396,257.234742075911,874.5365600585941,885.7601928710941,144,1241792.950752876,nan,nan,566,0.0,no
574,258.178715495085,875.576538085938,258.125579703416,258.206587586479,862.256103515625,876.6057739257809,119,189215.84359481686,nan,nan,574,0.0,no
584,261.169087530483,831.849517822266,261.167908661834,261.169804902557,829.8331909179691,842.3037719726559,102,184873.63130431768,nan,nan,584,0.0,no
610,269.13551739174403,788.1212768554691,269.07628193533697,269.138117461684,785.306396484375,793.7732543945309,112,1008174.3124163019,nan,nan,610,0.0,no
633,273.168933756463,744.3984375,273.166226524697,273.179728687501,724.5776977539059,749.0469360351559,101,222503.56870938226,nan,nan,633,0.0,no
641,275.185407326152,875.5750122070309,275.037966722767,275.18613304557897,874.0762329101559,882.1306762695309,119,3302480.550437232,nan,nan,641,0.0,no
647,276.188388924945,875.5741577148441,276.039853297957,276.189224184977,874.5283203125,877.4774780273441,116,518158.5596758726,nan,nan,647,0.0,no
660,279.16896201632704,667.009735107422,279.165602052282,279.170465772684,661.867431640625,669.4984130859381,110,236786.30961225033,nan,nan,660,0.0,no
665,280.092072119803,59.6259956359863,279.953187407182,280.095639865099,55.5441970825195,71.4465789794922,126,4031407.3814183995,nan,nan,665,0.0,no
722,288.290541029589,956.5380249023441,288.288683308756,288.498611976976,944.6160278320309,969.9147338867191,268,1647560.1697254463,nan,nan,722,0.0,no
729,289.201473213126,976.496459960938,289.199642918969,289.354340839235,966.4646606445309,980.9380493164059,211,320155.53752961115,nan,nan,729,0.0,no
749,294.15209521214297,85.28299999998,294.097536258819,294.15471162171,72.85874938964841,89.5074615478516,121,2062025.303969313,nan,nan,749,0.0,no
